,EPISODE,TITLE,AIRED ON,SUMMARY,RATING
13,E14,Kaikeyi Demands Her Boons,"Sun, May 3, 1987","Kaikayee demands that King Dasharath fulfill a promise he made a long time ago in the form of two boons. Unable to change her mind, Dasharath is forced to appoint Bharath as the future king while Ram exiled to the forest.",8.9
14,E15,Preparing for the Journey to the Forest,"Sun, May 10, 1987",Sita and Lakshman also resolve to go to forest with Ram.,9.0
15,E16,Departing Ayodhya,"Sun, May 17, 1987","King Dasharath denounces Kaikayi as his wife and falls into a deep depression at the loss of Ram. The Grief stricken people of Ayodhya try to stop Ram from going to the forest, but ultimately fail.",8.8
16,E17,Meeting Nishadraj Guha,"Sun, May 24, 1987","Ram, Lakshman and Sita are welcomed by Guha, king of the Nishadas, who arranges for the trio to cross the river Ganga by boat.",8.8
17,E18,Bharadwaja's Ashram,"Sun, May 31, 1987","After fulfilling the condition of Khibet, Ram, Lakshman and Sita cross the Ganga and take shelter at Rishi Bhardwaja's ashram. They take leave of Guha and proceed to Chitrakoot.",8.8
18,E19,Valmiki's Ashram and Chitrakoot,"Sun, Jun 7, 1987","Ram, Lakshman and Sita pay a visit to Maharishi Valmiki who advises them to settle in Chitrakoot.",8.8
19,E20,King Dasharath's Death,"Sun, Jun 14, 1987","Sumant returns to Ayodhya alone. King Dasharath mourns the separation from his son. In depression, he dies remembering a a curse laid on him for a mistake he made in his youth.",8.8
20,E21,Bharath Returns to Ayodhya,"Sun, Jun 21, 1987","In Nanihal, Bharath has a strange premonition and returns to Ayodhya only to find that his father is dead and his older brother exiled.",9.0
21,E22,Bharath rejects to become King,"Sun, Jun 28, 1987",Bharath performs King Dasharath's last rites Bharath rejects his coronation Bharath decides to crown Shri Ram in the forest and return with him.,9.0
22,E23,Ram meets Bharat,"Sun, Jun 28, 1987",nan,9.1
23,E24,Bharat Milap,"Sun, Jul 12, 1987",Lakshman gets angry on receiving the news of Bharaths arrival in the forest. Reunion of Shri Ram and Bharath.,9.4
24,E25,Bharath returns to Ayodhya with Ramas Shoes,"Sun, Jul 19, 1987","In Chitrakoot, King Janak conducts a meeting to plead with Shri ram to return to Ayodhya. Bharath returns to Ayodhya with Shri Rams 'Paduka'.",9.0
25,E26,Ramas Shoes installed on the throne of Ayodhya,"Sun, Jul 26, 1987","Bharath also dons the sages robe and rules Ayodhya as Shri Rams representative In Nandigram, Shri Rams Paduka is installed on the throne of Ayodhya.",8.9
26,E27,Sita meets Atri & mother Anusuiya,"Sun, Aug 2, 1987","Sita meets Atri and mother Anusuiya. Ram, Lakshman and Sita arrive at Sage Sharbhanga's ashram.",8.8
27,E28,Dandakaranya,"Sun, Aug 9, 1987","In Dandakaranya, seeing the bones of the sages, Shri Ram vows to take revenge on the demons Shri ram meets Sage Sutikshna Shri Ram meets Maharshi Agastya and receives divine weapons from him.",8.8
28,E29,"First meeting with Jatayu, Sita in Panchavadi","Sun, Aug 16, 1987","First meeting with Jatayu. Shri Ram, Lakshman and Sita decide to stay in Panchavati. Shurpanaka's attempt to charm Shri Ram. Lakshman cuts off Shurpanakas nose.",8.9
29,E30,Shurpanaka Encounter,"Sun, Aug 23, 1987","Shurpanaka provokes her brothers, Demons Khar and Dooshan. Single handed Shri Ram kills Khar and Dooshan and destroys their army. Shurpanaka laments in Ravans court.",9.1
30,E31,Kidnap Plan by Raavan,"Sun, Aug 30, 1987","Ravan decides to kidnap Sita. Mareech reluctantly becomes golden deer. Shri Ram, at Sitas behest, goes after the deer.",8.8
31,E32,Sita Haran,"Sun, Aug 30, 1987","Mareech calls out to Lakshman and Sita, mimicking Ram's voice. Sita forces Lakshman to go to Ram's aid, leaving her unguarded .Ravan seizes this chance and kidnaps Sita.",9.1
32,E33,Shri Ram & Lakshman meet wounded Jatayu,"Sun, Sep 13, 1987","Shri Ram and Lakshman meet wounded Jatayu. In Lanka, Ravan send Sita to Ashoka Vatika.",8.8
33,E34,Shri Ram & lakshman reach Shabaris ashram,"Sun, Sep 20, 1987",In forest Shri Ram kills Khabanda. Shri Ram and lakshman reach Shabaris ashram. Shabari is overwhelmed as she meets her lord.,8.8
34,E35,Hanuman meets Shri Ram,"Sun, Sep 27, 1987",Sugriv notices two strangers and sends Hanuman. Hanuman recognizes Shri Ram and happily carries the two brothers to the top of the hill to Sugriv.,8.7
35,E36,Friendship between Shri Ram & Sugriv Shri Ram,"Sun, Oct 4, 1987",Friendship between Shri Ram and Sugriv. Shri Ram sees Sitas jewels and becomes emotional. He promises Vali for persecuting Sugriv.,8.8
36,E37,Sugriv tells Shri Ram about Bali,"Sun, Oct 11, 1987",Sugriv tells Shri Ram the cause of the misunderstanding.,8.8
37,E38,Ram kills Vaali,"Sun, Oct 11, 1987",Shri Ram convinces Sugriv of his strength and removes his doubts. Fight between Sugriv and Bali. Bali is killed by Shri Ram.,8.7
38,E39,Sugriv becomes king,"Sun, Oct 25, 1987","Sugriv is repentant and in tears. Bali consoles him and tells him that his first and foremost duty is to help Shri Ram find his consort. Tara, Bali's wife and Angad arrive. Tara falls on the ground and clasping Bali, sets up a wall of woe. Bali appeals to Shri Ram to protect Angad. Shri Ram consoles Tara and tells Sugriv and Hanuman to perform the last rites of Bali in a befitting manner. After the cremation, Shri Ram tells Lakshman to crown Sugrive. He then turns to Sugrive and says: ""Go and take up the reins of the kingdom and crown Angad as the Yuvaraj.""",8.8
39,E40,Sugriv and Angad come to Shri Ram for his blessings,"Sun, Nov 1, 1987","After the coronation Sugriv and Angad come to Shri Ram for his blessings. Shri Ram suggests that the search for Sita should start after the monsoon. During the rains, Shri Ram broods over Sita's predicament and waits impatiently for the rains to stop. Meanwhile, in Kishkindha, sugriv and his household indulge in merry-making. After the rains are over, Shri Ram asks Lakshman to go and remind Sugriv of his promise.",8.7
40,E41,Lakshman enters Kishikindha in a fury,"Sun, Nov 8, 1987","Lakshman enters Kishikindha in a fury. Angad goes and informs Hanuman who requests Tara to go and allay Lakshman's wrath. Tara is able to take away the edge of Lakshman's anger and Hanuman tells Lakshman that Sugriv has already issued orders for mobilizing the warriors. Sugriv apologizes and accompanies Lakshman to pay his respects to Shri Ram. Even as Shri Ram is talking to Sugriv, great multitudes of vanaras arrive. Sugriv issues orders to send divisions of the army to the four corners of the earth. He sends Hanuman under the leadership of Angad to the south. As Hanuman touches the feet of Shri Ram, he gives him his ring and says: ""I am full of hope that you will discover Sita. This ring will tell her that you are my messenger.",8.8
41,E42,Search for Sita,"Sun, Nov 15, 1987","Passing through a desert, fainting with hunger and thirst, Angad and others notice a cave from which birds come out with their wings wet. They conclude that there is water inside the cave. They enter the dark cave and reach a lovely grove with water and trees laden with fruits. They find Tapasvani Swamprabha, who tells them to have their fill as they have come on a noble mission. She even transports them to the sea-side by her tapes. There they meet Sampati, the older brother of Jatayu. Sampati, though old and weak, can see things very far off and tells them that Sita is in Lanka, a hundred yojan away across the sea. ""But how to cross the sea?"" The vanaras are worried and then Jamubant reminds Hanuman of his forgotten strength.",8.8
42,E43,Jambubant reminds Hanuman of his dormant strength,"Sun, Nov 22, 1987","Jambubant reminds Hanuman of his dormant strength. Hanuman's figure begins to enlarge. From Mahendra Parbat he leaps and flies over the sea. On the way, he politely refuses Mainak's offer to rest and outwits Surasa. Suddenly he feels a mighty force dragging him down. It is Singhika who opens her mouth, thereby, drawing him in. Hanuman kills her and reaches Lanka. At the main gate he confronts Lankini, the guardian Goddess of Lanka. He defeats her, enters the city and searches high and low. Finally he learns that Sita is in Ashok Vatika.",8.9
43,E44,Hanuman meets Sita in Ashok Vatika,"Sun, Nov 22, 1987","In Ashok Vatika, Hanuman hides in the branches of the tree under which Sita is seated. Ravan arrives and tries his best to coax Sita to accept him. Insulted by her refusal, Ravan draws his sword 'Chandrika' when Queen Mandodari stops him.",8.7
44,E45,Hanuman ravages Ashok Vatika,"Sun, Dec 6, 1987","Hanuman eats the fruits of Ashok Vatika and ravages the garden. One of Ravan's sons, is killed by Hanuman. Indrajit orders his men to tie him up with strong ropes.",8.9
45,E46,Lanka Dahan,"Sun, Dec 6, 1987","Ravana orders Hanuman's tail to be set on fire. Hanuman then breaks his bondage and flies away. With his tail on fire he sets the whole city of Lanka ablaze. After setting fire to the whole town, Hanuman leaps away from the island and extinguishes the fire in the Indian Ocean.",9.0
46,E47,Hanuman takes leave of Sita,"Sun, Dec 20, 1987","Hanuman takes leave of Sita and goes back with her blessings. He meets Shri Ram and others, shows Sita's 'churamani' as a token, narrates his experience in Lanka.",8.7
47,E48,Shri Ram meets Sugriv and his vanar Sena,"Sun, Dec 27, 1987","Shri Ram meets Sugriv and his vanar Sena. Hanuman gives an account of Ravan's army and the security of Lanka. Shri Ram, with the permission of Sugriv, organizes the army. They march under the star of triumph 'Uttar Phalguni' towards the southern sea. They reach the seashore.",8.7
48,E49,Ravan summons his council,"Sun, Jan 3, 1988",Ravan summons his council. Bibhishan discusses the problem with his ministers. They advise him to take refuge at Shri Ram's feet.,8.7
49,E50,Bibhishan meets Shri Ram,"Sun, Jan 10, 1988",Bibhishan arrives at the camp of Shri Ram. He accepts Bibhishan as a friend and assures him the throne of Lanks.,8.7
50,E51,Sukh meets Sugriv,"Sun, Jan 17, 1988","Ravan discusses the matter with his courtiers and sends Sukh to seduce Sugriv from his loyalty to Shri Ram. Sugriv sends him back. Shri Ram begins to worship the Sea-God, as suggested by Bibhishan.",8.7
51,E52,Ram Setu bandhan,"Sun, Jan 10, 1988","Shri Ram worships Lord Shiva and seeks his blessings. monkeys, under the supervision of Nal and Neel, start working with gusto.",8.9
52,E53,The construction of the bridge is completed,"Sun, Jan 31, 1988",The construction of the bridge is completed and Shri Ram crosses the bridge with his army.,8.7
53,E54,Queen Mandodari begs Ravan,"Sun, Feb 7, 1988",Queen Mandodari begs Ravan not to fight with Shri Ram. She advises him to surrender and return Sita to Ram.,8.7
54,E55,Shri Ram surveys Lanka,"Sun, Feb 14, 1988","Shri Ram surveys Lanka. Sugriv leaps up as he notices Ravan on the tower of Lanka. The two wrestle. Sugrive returns to Shri Ram as Ravan resorts to magic. Ravan arranges his army, while the Vanar Sena surrounds Lanka.",8.7
55,E56,Army surrounds Lanka,"Sun, Feb 21, 1988",Shri Ram sends Angad as an ambassador to Ravan's court. Ravan's derogatory remarks about Shri Ram enrage Angad.,8.8
56,E57,Angad tells Ravan to surrender himself,"Sun, Feb 28, 1988","Ravan asks his men to capture Angad. Angad puts his foot down, challenging Ravan's men to lift it. Ravan is advised by his family members to surrender. Ravan is too proud to listen.",8.8
57,E58,Queen Mandodari appeals to Ravan,"Sun, Mar 6, 1988",Queen Mandodari appeals to Ravan to listen to the advice of his elders. Angad returns. His peace mission has failed. A spy returns and announces that Ravan has spurned the advice of his well wishers.,8.6
58,E59,Battle Starts,"Sun, Mar 13, 1988",nan,8.9
59,E60,Ravan comes to the battlefield,"Sun, Mar 13, 1988","Ravan fights with Sugriv and Lakshaman. Shri Ram confronts Ravan. Ravan returns to the palace, a broken man. Malayavan then suggest that they should awake Kumbhakarna, whose valor is proverbial.",8.8
60,E61,Kumbhakaran,"Sun, Mar 20, 1988",Ravan sends his men to Kumbhakaran's palace to wake him up from his deep sleep. Ravan tells Kumbhakarna that he now needed Kumbhakarna's prowess.,9.0
61,E62,Kumbhkarn vadh,"Sun, Mar 27, 1988","Kumbhakaran comes to the battlefield, furious. Bibhishan tries to convince him to follow the path of dharma. Kumbhakaran fights with Sugriv, Angad and others and finally with Shri Ram.",8.9
62,E63,"Atitkaya, Devantak, Narantak and Trishira","Sun, Apr 10, 1988","News of Kumbhakaran's death reaches Ravan. Indrajit wants to go to the battlefield. Hanuman and Angad kill Devantak, Narantak and Trishira.",8.8
63,E64,Lakshman fights with Atikaya,"Sun, Apr 17, 1988","Lakshman fights with Atikaya. Atikaya falls to the ground. Ravan almost swoons when he learns of the death of his four brave sons. Indrajit again seeks permission to go the battlefield,. Ravan hesitates, but ultimately agrees.",8.7
64,E65,Ram & Lakshman Bound bu Indrajit's Nagapasha,"Sun, Apr 10, 1988","Lakshman fights with Indrajit. Bibhishan begs Shri Ram to help Lakshman as Indrajit's strength will increase manifold after sunset. As Shri Ram comes to the battlefield, Indrajit makes himself invisible.",8.7
65,E66,Ravan congratulates Indrajit,"Sun, May 1, 1988",Ravan congratulates Indrajit on his wonderful success. Garuda comes and the serpents flee. Shri Ram and Lakshman arise. Ravan and Indrajit are shocked to learn that Garuda freed Shri Ram and Lakshman from the serpent darts.,8.7
66,E67,Laxman get injured by Indrajit's 'shakti' weapon.,"Sun, May 1, 1988","Indrajit hurls his Shakti baan and Lakshman falls unconscious. With Lakshman lying unconscious on his lap, Shri Ram wonders how he will face his mother Sumitra, and Lakshman's wife, Urmila.",8.8
67,E68,Sushen Vaidya,"Sun, May 15, 1988","Hanuman flies to Lanka and carries Sushen Vaidya, the royal physician on his back. Hanuman leaves in search of the herb.",8.7
68,E69,Sanjeevani,"Sun, May 22, 1988","Hanuman kills Kalnemi, reaches Dronagiri, lifts the whole peak and flies back. Hit by Bharat's arrow, he falls down in Ayodhya. Sushen Vaidya saves Lakshman with Sanjeevani her.",8.8
69,E70,Indrajit goes to perform a tantrik yajna,"Sun, May 29, 1988",Indrajit goes to perform a tantrik yajna. Indrajit comes out as the yajna is disrupted. He fights with Lakshman.,8.7
70,E71,Indrajeet Vadh,"Sun, May 22, 1988","Lakshman takes out Indrastra, discharges the fatal arrow and Indrajit's head is severed. Shri Ram congratulates Lakshman and tells Hanuman to leave Indrajit's body body at the gate of Lanka with due respect.",9.0
71,E72,Ravan challenges Ram and Lakshman,"Sun, Jun 19, 1988",Ravan decides to kill Sita. Maydanav holds tells him that he should go to the battlefield instead. He enters the battlefield like a whirlwind and challenges Ram and Lakshman.,8.7
72,E73,Ravan attacks Shri Ram,"Sun, Jun 26, 1988","Ravan attacks Shri Ram with all his pent up fury. Enraged Bibhishan, Sugriv and others attack Ravan, who becomes unconscious. His charioteer drives away from the battlefield.",8.8
73,E74,Indra sends his chariot for Shri Ram,"Sun, Jul 3, 1988","Mandodari, while nursing Ravan's wounds, begs him to surrender to Shri Ram. Indra sends his chariot for Shri Ram. Shri Ram circumbulates the chariot and ascends it.",8.8
74,E75,Lord Ram kills Demon Ravan,"Sun, Jul 10, 1988","Vibhishana told Rama that Ravana's weakest point was in his navel. Rama with his powerful arrow shot Ravana in the navel, then Ram used Brahmastra and killed him.",8.4
75,E76,Agni-pariksha,"Sun, Jul 17, 1988","After Ravan's last rites are performed, Bibishan is crowned in a magnificent ceremony. Shri Ram requests Bibhishan to send Sita to the Camp. Sita arrives and undergoes agni-pariksha.",7.5
76,E77,Shri Ram heads for Ayodhya,"Sun, Jul 24, 1988","Brahma comes and makes obeisance to Shri Ram. Bibhishan offers his Pushpak Viman and they leave for Ayodhaya. Shri Ram stops near the ashram of Rishi Bhardwaj and sends Hanuman to inform Bharat of his arrival. As the news of Shri Ram's arrival reaches Ayodhya, the people are overjoyed.",8.6
77,E78,Ram Reaches Ayodhya,"Sun, Jul 31, 1988",Shri Ram reaches Ayodhya. The coronation of Shri Ram. The people sing praises of Shri Ram.,8.4
